collection	operation	title	method	path	raw_parameters	body_kind	body_type	sdk_body_required	response	context	destructive	command	source
org-me	rest:apple-ads-platform-api:get:me	Get Me Details	GET	/v1/me	none	none	none	no	200 MeResponse	none	no	me view	https://developer.apple.com/documentation/apple-ads-platform-api/get-current-user-details
org-me	rest:apple-ads-platform-api:get:orgs-{}	Get Org by ID	GET	/v1/orgs/{id}	path:id (string; required)	none	none	no	200 OrgResponse	none	no	orgs view	https://developer.apple.com/documentation/apple-ads-platform-api/get-orgs-_id_
product-pages-endpoints	rest:apple-ads-platform-api:post:apps-{}-locale-details-query	Query App Locale Details	POST	/v1/apps/{adamId}/locale-details/query	path:adamId (int64; required)	JSON object	QueryRequest	no	200 AppLocaleDetailsQueryResponse	ad-account	no	apps locales find	https://developer.apple.com/documentation/apple-ads-platform-api/query-default-product-page-locale-details-by-adam-id
product-pages-endpoints	rest:apple-ads-platform-api:post:product-pages-locale-details-query	Query Product Page Locale Details	POST	/v1/product-pages/locale-details/query	none	JSON object	QueryRequest	no	200 ProductPageLocaleDetailsQueryResponse	ad-account	no	product-pages locales find	https://developer.apple.com/documentation/apple-ads-platform-api/query-product-page-locale-details
product-pages-endpoints	rest:apple-ads-platform-api:post:product-pages-query	Query Product Pages	POST	/v1/product-pages/query	none	JSON object	QueryRequest	no	200 ProductPageDetailsQueryResponse	ad-account	no	product-pages find	https://developer.apple.com/documentation/apple-ads-platform-api/query-product-pages
product-pages-endpoints	rest:apple-ads-platform-api:get:product-pages-{}	Get Product Page by ID	GET	/v1/product-pages/{productPageId}	path:productPageId (string; required)	none	none	no	200 ProductPageDetailsResponse	ad-account	no	product-pages view	https://developer.apple.com/documentation/apple-ads-platform-api/get-product-page-by-id
recommendations-endpoints	rest:apple-ads-platform-api:post:recommendations-daily-budgets-apply	Apply Daily Budget Recommendations	POST	/v1/recommendations/daily-budgets/apply	none	JSON array	[ApplyDailyCapRecommendation]	yes	200 RecommendationApplyDailyBudgetResponse	ad-account	no	recommendations daily-budgets apply	https://developer.apple.com/documentation/apple-ads-platform-api/apply-daily-budget-recommendations
recommendations-endpoints	rest:apple-ads-platform-api:post:recommendations-daily-budgets-dismiss	Dismiss Daily Budget Recommendations	POST	/v1/recommendations/daily-budgets/dismiss	none	JSON array	[ApplyDailyCapRecommendation]	yes	200 RecommendationDismissDailyBudgetResponse	ad-account	no	recommendations daily-budgets dismiss	https://developer.apple.com/documentation/apple-ads-platform-api/dismiss-daily-budget-recommendations
recommendations-endpoints	rest:apple-ads-platform-api:post:recommendations-daily-budgets-query	Query Daily Budget Recommendations	POST	/v1/recommendations/daily-budgets/query	none	JSON object	RecommendationQueryRequest	yes	200 RecommendationQueryDailyBudgetResponse	ad-account	no	recommendations daily-budgets find	https://developer.apple.com/documentation/apple-ads-platform-api/query-daily-budget-recommendations
recommendations-endpoints	rest:apple-ads-platform-api:post:recommendations-target-cpas-apply	Apply Target CPA Recommendations	POST	/v1/recommendations/target-cpas/apply	none	JSON array	[ApplyTargetCpaRecommendation]	yes	200 RecommendationApplyTargetCpaResponse	ad-account	no	recommendations target-cpas apply	https://developer.apple.com/documentation/apple-ads-platform-api/apply-target-cpa-recommendations
recommendations-endpoints	rest:apple-ads-platform-api:post:recommendations-target-cpas-dismiss	Dismiss Target CPA Recommendations	POST	/v1/recommendations/target-cpas/dismiss	none	JSON array	[ApplyTargetCpaRecommendation]	yes	200 RecommendationDismissTargetCpaResponse	ad-account	no	recommendations target-cpas dismiss	https://developer.apple.com/documentation/apple-ads-platform-api/dismiss-target-cpa-recommendations
recommendations-endpoints	rest:apple-ads-platform-api:post:recommendations-target-cpas-query	Query Target CPA Recommendations	POST	/v1/recommendations/target-cpas/query	none	JSON object	RecommendationQueryRequest	yes	200 RecommendationQueryTargetCpaResponse	ad-account	no	recommendations target-cpas find	https://developer.apple.com/documentation/apple-ads-platform-api/query-target-cpa-recommendations
search-apps-endpoints	rest:apple-ads-platform-api:get:apps-{}	Get App Details by Adam ID	GET	/v1/apps/{adamId}	path:adamId (int64; required)	none	none	no	200 AppDetailsResponse	ad-account	no	apps view	https://developer.apple.com/documentation/apple-ads-platform-api/get-app-details-by-adam-id
search-apps-endpoints	rest:apple-ads-platform-api:post:metadata-apps-supported-languages-query	Query Supported App Languages	POST	/v1/metadata/apps/supported-languages/query	none	JSON object	QueryRequest	no	200 AppSupportedLanguagesQueryResponse	ad-account	no	apps supported-languages find	https://developer.apple.com/documentation/apple-ads-platform-api/query-supported-app-languages
search-apps-endpoints	rest:apple-ads-platform-api:get:search-apps	Search for Apps	GET	/v1/search/apps	query:query (string; optional) — Free-text search matched against app name and developer name. Must contain at least one alphanumeric character and a minimum of 3 characters (2 for CJK languages). | query:returnOwnedApps (boolean; optional; default=false) — Flag that returns apps owned by the caller’s organization when set to `true`. Can be combined with `query` and `cpids`, or used on its own. Defaults to `false`. | query:cpids (string; optional) — Comma-separated list of iTunes content provider identifiers. Scopes the search to apps owned by those providers. | query:storeFronts ([string]; optional) — One or more App Store country or region codes (ISO 3166-1 alpha-2). Repeat the parameter for multiple values. All values must be enabled App Store countries or regions, or the call returns `INVALID_COUNTRY_CODE`. | query:offset (int32; optional; default=0) — Pagination offset for results. Defaults to `0`. | query:limit (int32; optional; default=20) — Maximum number of results to return. Defaults to `20`, capped at the service-side maximum (`MAXLIMIT`).	none	none	no	200 AppsSearchResponse	ad-account	no	apps search	https://developer.apple.com/documentation/apple-ads-platform-api/searches-for-a-list-of-apps
suggestions-endpoints	rest:apple-ads-platform-api:post:suggestions-categories-query	Query Category Suggestions	POST	/v1/suggestions/categories/query	none	JSON object	RecommendationQueryRequest	yes	200 RecommendationQueryCategorySuggestionResponse	ad-account	no	suggestions categories find	https://developer.apple.com/documentation/apple-ads-platform-api/query-category-suggestions
suggestions-endpoints	rest:apple-ads-platform-api:post:suggestions-keywords-query	Query Keyword Suggestions	POST	/v1/suggestions/keywords/query	none	JSON object	RecommendationQueryRequest	yes	200 RecommendationQueryKeywordSuggestionResponse	ad-account	no	suggestions keywords find	https://developer.apple.com/documentation/apple-ads-platform-api/query-keyword-suggestions
suggestions-endpoints	rest:apple-ads-platform-api:post:suggestions-phrases-query	Query Phrase Suggestions	POST	/v1/suggestions/phrases/query	none	JSON object	RecommendationQueryRequest	yes	200 RecommendationQueryPhraseSuggestionResponse	ad-account	no	suggestions phrases find	https://developer.apple.com/documentation/apple-ads-platform-api/query-phrase-suggestions
suggestions-endpoints	rest:apple-ads-platform-api:post:suggestions-target-cpas-query	Query Target CPA Suggestion	POST	/v1/suggestions/target-cpas/query	none	JSON object	RecommendationQueryRequest	yes	200 RecommendationQueryTargetCpaSuggestionResponse	ad-account	no	suggestions target-cpas find	https://developer.apple.com/documentation/apple-ads-platform-api/query-target-cpa-suggestion
